URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-glycemia-measurement-time,1.0.0,active,,BeVSGlycemiaMeasurementTime,eReferral Glycemia Measurement Time,"Timing of glycemia measurements.",,"Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-note-type,1.0.0,active,,BeVSNoteTypes,eReferral Note Type,"Types of notes that can be associated with a referral prescription.",,"Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-nursing-care-requested,1.0.0,active,,BeVSNursingCareRequested,eReferral Nursing Care Requested,"Clinical care services that can be prescribed for nursing care using SNOMED CT.",,"SCT"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-nursing-prescription-technical-type,1.0.0,active,,BeVSNursingPrescriptionTechnicalType,eReferral Nursing Prescription Technical Type,"Technical types of nursing prescriptions for routing and workflow purposes.",,"Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-parameter-type,1.0.0,active,,BeVSParameterType,eReferral Parameter Type,"Types of parameters/vital signs that can be measured.",,"SCT"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-prescription-type,1.0.0,active,,BeVSPrescriptionType,eReferral Prescription Type ValueSet,"Technical types of prescriptions supported by the eReferral system. Used for routing and workflow purposes.",,"Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-pss-indication,1.0.0,active,,BeVSPSSIndication,PSS Indication,"Indication codes for diagnostic imaging requests as PSS Internal Codes.",,"Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-sample-substance-type,1.0.0,active,,BeVSSampleSubstanceType,eReferral Sample Substance Type,"Types of samples/substances that can be collected.",,"SCT"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-session-type,1.0.0,active,,BeVSSessionType,eReferral Session Type,"Types of sessions for education or care activities (standard).",,"Internal"
https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-session-type-extended,1.0.0,active,,BeVSSessionTypeExtended,eReferral Session Type Extended,"Types of sessions for education or care activities (extended, including combination).",,"Internal"
